test, algo, img, arch, sched, exec_sec
test 1 algo img arch sched exec_sec, 1, 1, 1, 1, 0.000098434
test 2 algo img arch sched exec_sec, 1, 1, 1, 2, 0.000129968
test 3 algo img arch sched exec_sec, 1, 1, 1, 3, 0.000118402
test 4 algo img arch sched exec_sec, 1, 1, 1, 4, 0.000224826
test 5 algo img arch sched exec_sec, 1, 1, 1, 5, 0.000141184
test 6 algo img arch sched exec_sec, 1, 1, 1, 6, 0.000115937
test 7 algo img arch sched exec_sec, 1, 1, 2, 1, 0.000069667
test 8 algo img arch sched exec_sec, 1, 1, 2, 3, 0.000046424
test 9 algo img arch sched exec_sec, 1, 1, 2, 4, 0.000046528
test 10 algo img arch sched exec_sec, 1, 1, 2, 5, 0.000059072
test 11 algo img arch sched exec_sec, 1, 1, 2, 6, 0.000046961
test 12 algo img arch sched exec_sec, 1, 2, 1, 1, 0.000486095
test 13 algo img arch sched exec_sec, 1, 2, 1, 2, 0.000506140
test 14 algo img arch sched exec_sec, 1, 2, 1, 3, 0.000523991
test 15 algo img arch sched exec_sec, 1, 2, 1, 4, 0.000644293
test 16 algo img arch sched exec_sec, 1, 2, 1, 5, 0.000617355
test 17 algo img arch sched exec_sec, 1, 2, 1, 6, 0.000522546
test 18 algo img arch sched exec_sec, 1, 2, 2, 1, 0.000208378
test 19 algo img arch sched exec_sec, 1, 2, 2, 3, 0.000114058
test 20 algo img arch sched exec_sec, 1, 2, 2, 4, 0.000114882
test 21 algo img arch sched exec_sec, 1, 2, 2, 5, 0.000131490
test 22 algo img arch sched exec_sec, 1, 2, 2, 6, 0.000114323
test 23 algo img arch sched exec_sec, 1, 3, 1, 1, 0.002937042
test 24 algo img arch sched exec_sec, 1, 3, 1, 2, 0.003154752
test 25 algo img arch sched exec_sec, 1, 3, 1, 3, 0.002892728
test 26 algo img arch sched exec_sec, 1, 3, 1, 4, 0.002664410
test 27 algo img arch sched exec_sec, 1, 3, 1, 5, 0.003010138
test 28 algo img arch sched exec_sec, 1, 3, 1, 6, 0.002857137
test 29 algo img arch sched exec_sec, 1, 3, 2, 1, 0.000758560
test 30 algo img arch sched exec_sec, 1, 3, 2, 3, 0.000387682
test 31 algo img arch sched exec_sec, 1, 3, 2, 4, 0.000387591
test 32 algo img arch sched exec_sec, 1, 3, 2, 5, 0.000405303
test 33 algo img arch sched exec_sec, 1, 3, 2, 6, 0.000391083
test 34 algo img arch sched exec_sec, 2, 1, 1, 1, 0.003206553
test 35 algo img arch sched exec_sec, 2, 1, 1, 2, 0.000680743
test 36 algo img arch sched exec_sec, 2, 1, 1, 3, 0.000774484
test 37 algo img arch sched exec_sec, 2, 1, 1, 4, 0.000504855
test 38 algo img arch sched exec_sec, 2, 1, 1, 5, 0.000529781
test 39 algo img arch sched exec_sec, 2, 1, 1, 6, 0.000531192
test 40 algo img arch sched exec_sec, 2, 1, 2, 1, 0.000218848
test 41 algo img arch sched exec_sec, 2, 1, 2, 3, 0.000145759
test 42 algo img arch sched exec_sec, 2, 1, 2, 4, 0.000144369
test 43 algo img arch sched exec_sec, 2, 1, 2, 5, 0.000115818
test 44 algo img arch sched exec_sec, 2, 1, 2, 6, 0.000160649
test 45 algo img arch sched exec_sec, 2, 2, 1, 1, 0.013071872
