EpThisIter,loss_pol_surr,TimeElapsed,EpisodesSoFar,loss_ent,EpRewMean,TimestepsSoFar,loss_kl,ev_tdlam_before,loss_vf_loss,loss_pol_entpen,EpLenMean,EpExecMean
4,-0.14067094,126.61820673942566,4,4.3493795,51.95439457347476,125,0.05687998,0.029027998447418213,298.09244,-0.13048139,31.25,0.012047917750000001
2,-0.10336436,182.60088324546814,6,4.2040434,-7.933256356625885,428,0.082191914,0.40595293045043945,176.87657,-0.1261213,71.33333333333333,0.024007510166666666
2,-0.105527505,275.04055738449097,8,4.2869105,-6.684462239799004,644,0.038590714,0.42354530096054077,218.30742,-0.1286073,80.5,0.01911534075
2,-0.08142817,312.38949751853943,10,4.2644267,-8.647286935881036,885,0.031806454,0.5521576702594757,129.86125,-0.1279328,88.5,0.015963133
4,-0.11280805,350.36742091178894,14,4.104466,-7.934861160418525,1268,0.074344516,0.48833560943603516,421.45087,-0.12313398,90.57142857142857,0.014702019071428572
7,-0.114208296,420.9309802055359,21,4.115649,13.027605285921942,1521,0.04184672,0.28847765922546387,425.0816,-0.12346947,72.42857142857143,0.012825935952380954
2,-0.101606585,448.3335852622986,23,4.1807995,13.109753432272417,1679,0.049278192,0.4244234561920166,123.11944,-0.125424,73.0,0.01246566391304348
6,-0.1269462,519.4237539768219,29,4.096172,16.682173010994116,2021,0.05193215,0.1584838628768921,348.23218,-0.12288515,69.6896551724138,0.012274916137931035
3,-0.10705908,560.7544031143188,32,4.0586567,18.604035171795726,2160,0.052188,0.33805984258651733,174.1011,-0.1217597,67.5,0.012180001062500001
3,-0.09064764,600.0444464683533,35,4.034195,15.816358438874932,2491,0.081689745,0.463914155960083,152.76117,-0.121025845,71.17142857142858,0.011653391171428574
8,-0.122375995,683.5428152084351,43,3.951789,22.176046501654874,2809,0.054576896,0.25770461559295654,570.5373,-0.11855367,65.32558139534883,0.010646502837209302
12,-0.11103665,767.0090658664703,55,3.7546453,28.436968569847387,3020,0.039864145,0.2773740887641907,571.9847,-0.11263935,54.90909090909091,0.01238137629090909
6,-0.09181528,805.386913061142,61,3.731415,29.82011212854897,3168,0.07080537,0.6489140093326569,198.37108,-0.11194245,51.9344262295082,0.012909218885245903
9,-0.090720184,846.4502668380737,70,3.7121336,32.19774501585987,3565,0.06062012,0.4502812623977661,440.5692,-0.11136401,50.92857142857143,0.011888570757142856
12,-0.0827121,915.2850975990295,82,3.4010944,35.328595311996374,3839,0.046156153,0.30649709701538086,446.9572,-0.10203283,46.81707317073171,0.01216510117073171
15,-0.08933209,973.1107096672058,97,3.2943654,39.94434559759893,4095,0.08028618,0.5043386220932007,433.63116,-0.09883095,42.21649484536083,0.0116492293814433
20,-0.08087501,1036.543982744217,117,3.1010962,53.24170887682501,4352,0.042649545,0.5566985607147217,611.9855,-0.09303288,29.78,0.010582812169999997
20,-0.083506666,1109.1182668209076,137,3.274693,59.52303638345816,4607,0.048681118,0.5671361088752747,265.88184,-0.09824079,19.96,0.0112771847
20,-0.06496149,1170.9392733573914,157,2.99822,63.92523443863925,4862,0.041283116,0.5307039618492126,447.9711,-0.0899466,17.67,0.009973830420000001
26,-0.10949225,1243.4718761444092,183,2.7235465,68.80881518068514,5118,0.095685825,0.5701497793197632,365.85648,-0.0817064,12.63,0.00964545483
19,-0.06204101,1303.9542982578278,202,2.8615887,69.48793545909746,5370,0.041367225,0.6136011481285095,270.41556,-0.08584767,12.23,0.00984911062
17,-0.08169432,1354.5775532722473,219,3.0590382,69.24394000065882,5617,0.076614656,0.6624098122119904,208.04825,-0.09177114,12.23,0.009532679330000002
26,-0.08313945,1432.2697818279266,245,2.7895017,72.72908419249586,5881,0.05754291,0.7767104953527451,281.07184,-0.08368504,11.74,0.00791250124
31,-0.0922975,1537.5649886131287,276,2.948422,73.22901409082915,6144,0.0627978,0.7225908041000366,244.28003,-0.08845265,10.97,0.00815460538
34,-0.08083953,1639.6860382556915,310,2.8416457,75.39816762030345,6392,0.0803451,0.7911676317453384,265.1811,-0.085249364,8.86,0.00719929608
34,-0.07682217,1735.5045006275177,344,2.925581,78.63861030504302,6648,0.047934253,0.8301633149385452,156.89905,-0.08776743,7.7,0.00682475687
29,-0.05610125,1836.8278455734253,373,2.8425727,78.90158486714186,6895,0.047799718,0.8389172106981277,136.59547,-0.08527718,7.73,0.00583342204
