loss_vf_loss,EpLenMean,EpisodesSoFar,EpThisIter,EpExecMean,TimeElapsed,TimestepsSoFar,loss_ent,loss_pol_entpen,loss_kl,loss_pol_surr,ev_tdlam_before,EpRewMean
330.14664,19.307692307692307,13,13,0.04365274715384616,68.04085397720337,251,4.3776507,-0.1313295,0.029601801,-0.13208336,-0.0026782751083374023,37.154167791807076
136.79477,28.3125,16,3,0.03941456174999999,114.25447821617126,453,4.339279,-0.13017838,0.036195945,-0.12692404,0.32183557748794556,33.18259705807125
237.43155,34.31818181818182,22,6,0.038439439363636356,278.575421333313,755,4.308601,-0.12925802,0.032605015,-0.11522462,0.3881886601448059,30.068395452944056
207.52293,38.80769230769231,26,4,0.03447868892307692,359.41093277931213,1009,4.2889004,-0.128667,0.041057833,-0.12600711,0.46031051874160767,30.235837831249
207.27734,38.15151515151515,33,7,0.03069532251515152,412.21314692497253,1259,4.1906686,-0.12572005,0.046663787,-0.11706179,0.5596259832382202,33.123964807666475
232.7326,37.6578947368421,38,5,0.028769444315789473,455.3814196586609,1431,4.1217566,-0.12365268,0.06585759,-0.14483157,0.2228516936302185,35.971597499773395
385.60852,37.229166666666664,48,10,0.028867938625000002,519.227906703949,1787,3.9663677,-0.118991025,0.062319197,-0.11897955,0.4967327117919922,36.68205259828323
283.04666,35.91228070175438,57,9,0.026719579315789475,580.7018461227417,2047,4.0433893,-0.121301666,0.042144544,-0.10714663,0.4496040344238281,38.21571736251851
472.4808,33.2463768115942,69,12,0.024579998043478258,655.2493987083435,2294,3.8247857,-0.114743575,0.058920104,-0.12600313,0.3904224634170532,42.63302666741767
524.9243,30.49397590361446,83,14,0.023452700493975905,772.4853715896606,2531,3.7059212,-0.11117764,0.050035834,-0.10912419,0.47920942306518555,47.32997912082246
499.6018,28.333333333333332,99,16,0.021865430787878785,865.3352994918823,2805,3.7223558,-0.11167067,0.04882443,-0.11076991,0.47841471433639526,50.94191104495756
237.91235,29.23,109,10,0.01865642971,972.3241512775421,3063,3.6850977,-0.11055292,0.054740936,-0.10664971,0.5988676846027374,52.74172795903749
296.68448,23.5,125,16,0.016368236510000002,1075.513237953186,3292,3.398354,-0.10195062,0.056651197,-0.10406513,0.6719668805599213,59.79693553483642
205.02872,20.0,139,14,0.01507761219,1175.3346455097198,3564,3.5465026,-0.10639508,0.05303338,-0.09704173,0.6494663655757904,63.98658807547274
265.44757,18.11,155,16,0.014216930820000003,1268.7710671424866,3824,3.313171,-0.099395126,0.049770877,-0.08457933,0.6081450283527374,65.57486137946493
284.42096,16.9,174,19,0.013970750080000004,1387.064202785492,4081,3.2496715,-0.09749014,0.04836894,-0.09742759,0.6858528554439545,67.17969511714814
332.8637,15.92,196,22,0.013628913999999999,1545.7601289749146,4352,3.1875827,-0.09562749,0.051273078,-0.08073719,0.7128865420818329,67.72577042104257
232.22137,14.6,211,15,0.012502869279999997,1644.49329662323,4562,2.951542,-0.08854626,0.045438237,-0.09535209,0.759396031498909,71.14497416404292
171.63849,15.81,224,13,0.011437286820000003,1718.63543176651,4860,3.3779247,-0.10133773,0.103742674,-0.095929265,0.7664535790681839,70.7417538124208
223.81145,14.76,242,18,0.01193611003,1814.666222333908,5115,3.2625163,-0.09787549,0.04739237,-0.097131744,0.7225628793239594,72.2474386165345
131.47495,14.94,259,17,0.01108244842,1913.607689857483,5359,3.3357954,-0.10007387,0.046255436,-0.08313675,0.8099078238010406,72.3519085853876
160.11969,14.24,278,19,0.011303300529999998,2056.7337357997894,5580,3.1683276,-0.09504983,0.080552876,-0.09504141,0.7772945910692215,72.74691816371015
154.30814,15.35,296,18,0.00993432338,2157.0556333065033,5887,3.2727015,-0.09818104,0.05400393,-0.07117577,0.7953085005283356,73.6454981350801
143.34897,14.12,314,18,0.00974472318,2265.91149020195,6136,3.2529125,-0.09758737,0.046845395,-0.07662197,0.8230795562267303,74.72594021453017
124.408485,14.36,332,18,0.01032933313,2379.594650030136,6389,3.2852707,-0.09855811,0.042948652,-0.06394696,0.7742777764797211,73.58290324836238
131.30286,14.64,348,16,0.011002652000000002,2473.3204843997955,6656,2.8891382,-0.086674154,0.0839237,-0.09619202,0.5526835322380066,72.39626199914183
112.93806,14.76,364,16,0.01077804034,2598.5198101997375,6907,2.9961464,-0.0898844,0.13310423,-0.0904351,0.7768920212984085,73.21861507763717
126.51776,14.7,381,17,0.010125578830000002,2700.8367516994476,7165,2.7118452,-0.08135535,0.057835337,-0.084148444,0.6879911422729492,74.46025260841692
