#{"t_start": 1533593400.676169, "env_id": "HalideBlur-v4"}
r,l,t,best_exec,best_schedule
98.046474,1,7.898993,0.001092527,"blur_y.gpu_tile(x, y, xi, yi, 8, 8); "
96.463206,4,22.120945,0.000859466,"blur_y.bound(y, 0, 2568); blur_y.gpu_tile(x, y, xi, yi, 8, 16); "
-37.988011,45,50.654265,0.001094273,n/a
92.874262,7,75.339696,0.001188838,n/a
48.399347,6,89.33566,0.000847734,"blur_y.bound(x, 0, 3848); blur_y.gpu_tile(x, y, xi, yi, 16, 16); "
-15.772091,17,96.263183,0.000808553,"blur_y.gpu_tile(x, y, xi, yi, 8, 32); blur_y.bound(x, 0, 3848); "
10.10304,67,109.783244,0.016720143,n/a
72.567106,28,119.39939,0.000801359,"blur_y.gpu_tile(x, y, xi, yi, 8, 32); blur_y.bound(x, 0, 3848); "
68.494495,41,169.047511,0.001401226,n/a
83.84372,17,179.485492,0.00064666,"blur_y.gpu_tile(x, y, xi, yi, 128, 8); blur_y.unroll(xi, 3); "
87.183398,14,193.202086,0.000456692,"blur_y.gpu_tile(x, y, xi, yi, 32, 8); blur_y.unroll(yi, 4); "
53.860328,50,216.098566,0.000637372,n/a
-39.771662,46,234.256469,0.000525765,n/a
85.992454,18,261.610658,0.000563479,n/a
82.879312,21,279.55778,0.000626755,n/a
80.198008,22,307.071419,0.000448521,"blur_y.gpu_tile(x, y, xi, yi, 64, 16); blur_y.unroll(yi, 2); blur_y.unroll(xi, 2); "
-141.0,156,367.866329,0.001099651,n/a
-2.688903,113,414.728745,0.000944534,n/a
-58.018305,66,440.123145,0.000478692,n/a
77.824364,24,450.658702,0.000419816,"blur_y.bound(y, 0, 2568); blur_y.gpu_tile(x, y, xi, yi, 32, 16); blur_y.unroll(yi, 2); blur_y.unroll(xi, 2); "
15.556617,95,507.011077,0.000807225,n/a
-18.898666,26,528.04531,0.000622984,n/a
88.229604,15,548.688383,0.000430851,n/a
59.999197,44,572.715167,0.000559708,n/a
-23.941414,135,630.748055,0.001085753,n/a
-32.673792,147,699.830128,0.000936083,n/a
77.009064,27,721.035269,0.00055419,n/a
70.316842,35,752.878219,0.000941321,n/a
83.886804,22,773.608796,0.000622565,n/a
-5.049008,118,835.891669,0.000586667,n/a
31.907367,27,863.313629,0.000560127,n/a
-6.939502,10,870.461357,0.000585269,n/a
-18.719266,23,883.925408,0.000775308,n/a
-186.228696,299,952.155362,0.001805677,n/a
56.94787,48,989.078343,0.000588413,n/a
91.31035,12,1006.218078,0.000944952,n/a
-8.205252,13,1020.136104,0.000565435,n/a
84.977093,17,1033.749267,0.00057207,n/a
64.299409,21,1058.649114,0.01213625,n/a
77.039785,26,1110.518301,0.000537009,n/a
89.078248,15,1134.730718,0.000515498,n/a
94.986335,8,1152.033745,0.000566901,n/a
-10.0,13,1162.726493,0.00109993,n/a
95.469198,7,1176.628557,0.000856115,n/a
-14.930762,21,1193.684411,0.000594279,n/a
91.273687,11,1217.797646,0.000406197,"blur_y.gpu_tile(x, y, xi, yi, 32, 16); blur_y.unroll(yi, 4); blur_y.unroll(yi, 2); "
-3.874191,7,1228.433248,0.000400959,"blur_y.gpu_tile(x, y, xi, yi, 32, 16); blur_y.unroll(xi, 2); blur_y.unroll(yi, 4); "
-14.25358,17,1238.91775,0.000621657,n/a
-8.0,10,1245.680231,0.001093086,n/a
96.166236,6,1259.541125,0.001025549,n/a
94.188394,9,1273.525095,0.000453898,n/a
76.158492,29,1312.280247,0.00102988,n/a
89.968476,16,1344.619191,0.000576889,n/a
66.706239,28,1395.848489,0.005756878,n/a
-1.912531,5,1402.740362,0.000581988,n/a
69.658519,37,1441.008071,0.000750235,n/a
0.0,1,1441.015333,0.055925896,n/a
5.328831,105,1483.35261,0.000934616,n/a
68.173158,37,1514.378884,0.000462419,n/a
92.994326,12,1531.405945,0.000562432,n/a
74.923395,29,1548.359644,0.000602101,n/a
25.763465,23,1562.134201,0.012481894,n/a
89.953365,13,1596.138082,0.00058534,n/a
49.383773,21,1630.998108,0.020477953,n/a
-18.963357,25,1648.331158,0.000617118,n/a
81.241593,23,1676.502751,0.000424146,n/a
84.202631,21,1697.323548,0.000445936,n/a
-3.384083,7,1707.585723,0.000597493,n/a
92.024922,12,1735.17303,0.000545321,n/a
76.945748,27,1752.251414,0.0005896,n/a
89.930388,12,1765.931713,0.00059819,n/a
76.985086,28,1786.79919,0.0005676,n/a
-1.828414,5,1797.611543,0.000863937,n/a
94.98009,7,1818.372424,0.000570394,n/a
0.0,1,1821.861207,0.001041543,n/a
92.988082,9,1835.499166,0.000565924,n/a
-2.0,4,1842.362642,0.001099231,n/a
93.45259,8,1859.589565,0.000865403,n/a
89.915527,12,1873.401175,0.000606501,n/a
93.954989,8,1880.420146,0.000584432,n/a
94.167983,7,1894.335031,0.001024572,n/a
93.893547,9,1907.425967,0.000618794,n/a
0.0,1,1910.868128,0.001031626,n/a
96.151624,4,1918.272379,0.001033721,n/a
95.978343,6,1928.803331,0.000571371,n/a
-1.0,2,1932.125931,0.000961296,n/a
91.975469,10,1945.954684,0.000572978,n/a
-0.74674,4,1956.747591,0.000800381,n/a
74.987832,29,2004.119283,0.000566064,n/a
94.290118,7,2014.866163,0.000956267,n/a
93.291491,7,2025.097358,0.000955499,n/a
92.951616,9,2049.734342,0.000586318,n/a
92.993078,9,2060.087166,0.00056313,n/a
0.988065,3,2070.701529,0.000623683,n/a
83.947246,18,2108.745751,0.000588762,n/a
96.163738,4,2115.935235,0.001026946,n/a
-2.0,3,2119.111594,0.000950191,n/a
93.587463,10,2137.407763,0.000789974,n/a
-3.035037,7,2148.173459,0.000677111,n/a
98.299984,2,2151.548278,0.000950749,n/a
-5.105346,9,2161.972192,0.00069087,n/a
79.27763,25,2197.110329,0.000963251,n/a
-4.0,5,2200.434887,0.001070109,n/a
