#{"env_id": "HalideBlur-v4", "t_start": 1534407414.0128267}
r,l,t,best_exec,best_schedule
91.280252,8,28.806183,0.000961016,"blur_y.gpu_tile(x, y, xi, yi, 16, 16); "
30.906293,6,32.541716,0.036933956,n/a
89.779677,11,64.467259,0.000681931,"blur_y.gpu_tile(x, y, xi, yi, 64, 16); blur_y.unroll(xi, 2); "
74.727436,30,86.34361,0.000711124,n/a
38.744182,66,110.454774,0.000701766,n/a
-173.545649,288,197.120063,0.000863727,n/a
87.792801,13,224.59031,0.000674597,"blur_y.gpu_tile(x, y, xi, yi, 128, 8); blur_y.unroll(xi, 2); "
34.290999,78,278.169436,0.00095501,n/a
60.869505,27,291.606413,0.009572726,n/a
70.370864,32,308.948717,0.000910381,n/a
86.819297,14,336.538481,0.000659791,"blur_y.gpu_tile(x, y, xi, yi, 32, 32); blur_y.unroll(yi, 2); "
61.960652,41,389.37994,0.0005808,"blur_y.bound(x, 0, 3848); blur_y.gpu_tile(x, y, xi, yi, 64, 16); blur_y.compute_root(); blur_y.unroll(yi, 3); "
91.304874,9,399.730071,0.000947257,n/a
0.0,2,406.730663,0.001118857,n/a
0.955235,2,417.10216,0.000562921,"blur_y.gpu_tile(x, y, xi, yi, 8, 64); blur_y.unroll(yi, 3); blur_y.unroll(yi, 2); "
-107.351596,117,448.42241,0.000609575,n/a
-17.358802,131,514.80798,0.000694083,n/a
37.576333,73,561.022526,0.000795562,n/a
63.695939,40,578.411451,0.000639467,n/a
84.649072,19,598.174178,0.000665308,n/a
-27.0,30,608.642943,0.001115924,n/a
32.270502,77,661.886593,0.000966464,n/a
50.32362,53,690.503083,0.000936781,n/a
-4.304228,7,697.514773,0.000652457,n/a
74.857791,29,711.800373,0.00063828,n/a
71.839044,32,729.608649,0.000648756,n/a
48.007917,62,774.782503,0.0011132,n/a
61.366739,40,781.849441,0.000912686,n/a
-8.0,10,788.741717,0.000959689,n/a
-17.046891,21,799.618575,0.000690312,n/a
-48.467705,60,840.385049,0.000667334,n/a
84.243985,19,854.671923,0.00042247,"blur_y.gpu_tile(x, y, xi, yi, 64, 16); blur_y.bound(y, 0, 2568); blur_y.compute_root(); blur_y.unroll(yi, 4); "
-43.259357,48,869.042214,0.000627035,n/a
43.231565,17,894.094406,0.00044908,n/a
-60.548213,74,952.447988,0.00047108,n/a
89.810799,13,962.734469,0.00066454,n/a
1.32291,4,966.750596,0.017294588,n/a
88.429729,13,977.174542,0.000877486,n/a
-20.403087,25,991.361305,0.000618724,n/a
-14.930529,19,1001.735868,0.000607898,n/a
93.591206,8,1019.008566,0.000787251,n/a
77.748683,26,1043.256301,0.000699251,n/a
94.270128,6,1053.44798,0.000966673,n/a
89.736935,13,1071.647856,0.000705816,n/a
88.862542,14,1085.333473,0.000635625,n/a
-1.573957,6,1095.970905,0.000543295,n/a
84.283376,20,1113.545436,0.00095927,n/a
96.271003,4,1116.961394,0.000966184,n/a
-91.629262,205,1209.724651,0.000910451,n/a
94.594581,8,1219.84791,0.000785365,n/a
0.0,1,1223.303832,0.001067314,n/a
91.718188,12,1240.768736,0.000716292,n/a
84.111902,17,1250.746979,0.001055092,n/a
65.865792,38,1266.03649,0.000633809,n/a
96.882664,6,1279.34022,0.000624381,n/a
-5.0,6,1283.292758,0.001224458,n/a
91.851043,10,1296.853457,0.000642051,n/a
96.258629,4,1303.917347,0.000973099,n/a
96.98167,3,1313.468128,0.001127867,n/a
84.598205,17,1327.280273,0.00078334,n/a
90.144022,11,1334.596919,0.001037143,n/a
-5.755036,9,1345.013467,0.001206229,n/a
89.379237,13,1355.598977,0.000905702,n/a
75.402108,27,1373.855278,0.000892921,n/a
97.9764,5,1388.093913,0.000572,n/a
93.445103,8,1398.347606,0.000868895,n/a
-3.607805,8,1412.698253,0.000724812,n/a
90.346492,12,1426.770808,0.000924,n/a
95.187619,9,1444.150423,0.000453968,n/a
47.529546,8,1450.762455,0.000852622,n/a
96.539214,5,1457.80277,0.000816305,n/a
-3.0,4,1461.455809,0.001040566,n/a
90.312996,13,1482.212971,0.000942718,n/a
97.299874,3,1489.140989,0.000950051,n/a
96.714938,5,1499.663896,0.000718108,n/a
64.579708,45,1546.896942,0.000793676,n/a
90.394736,14,1568.292414,0.000897041,n/a
97.299748,3,1571.463227,0.000950121,n/a
89.697941,12,1578.519531,0.000727606,n/a
97.36299,4,1592.380801,0.000914781,n/a
-10.995272,14,1599.990611,0.00076134,n/a
93.351741,8,1610.202002,0.000921067,n/a
93.581707,8,1620.697444,0.000792559,n/a
88.268128,12,1624.264606,0.000967791,n/a
96.274502,5,1630.989454,0.000964229,n/a
92.395985,9,1637.963434,0.000896343,n/a
90.774303,12,1655.674652,0.000684934,n/a
91.280627,10,1665.637592,0.000960806,n/a
95.575709,6,1672.732789,0.000795911,n/a
95.285126,5,1682.911566,0.000958292,n/a
97.557837,5,1696.899975,0.000805898,n/a
95.727313,6,1707.458228,0.000711193,n/a
94.303499,6,1714.344109,0.000948025,n/a
90.759307,11,1724.589692,0.000693314,n/a
95.29875,5,1731.622184,0.000950679,n/a
-210.270816,324,1793.098522,0.000710147,n/a
89.280252,11,1796.734822,0.000961016,n/a
-6.0,7,1800.32374,0.001222363,n/a
97.708564,4,1811.096496,0.00072167,n/a
58.452725,45,1823.879967,0.000780057,n/a
97.275001,3,1831.103969,0.00096395,n/a
91.274003,10,1841.391268,0.000964508,n/a
98.302497,2,1848.352431,0.000948585,n/a
97.295999,3,1855.270768,0.000952216,n/a
93.271877,7,1858.788054,0.000965696,n/a
0.0,1,1862.306431,0.001087428,n/a
95.280377,5,1869.379143,0.000960946,n/a
-32.890809,37,1872.912502,0.017480226,n/a
0.588663,2,1879.364094,0.000644286,n/a
87.304124,13,1882.820466,0.000947676,n/a
-7.0,8,1886.276572,0.000968908,n/a
95.391611,6,1900.060204,0.000898787,n/a
84.714813,18,1910.2724,0.000718178,n/a
0.0,2,1917.345046,0.001225994,n/a
