EpThisIter,loss_ent,EpRewMean,TimeElapsed,EpExecMean,loss_kl,TimestepsSoFar,EpisodesSoFar,loss_vf_loss,ev_tdlam_before,loss_pol_surr,EpLenMean,loss_pol_entpen
7,4.5641136,27.691506137860873,214.70680379867554,0.31287556057142857,0.041839287,216,7,476.4025,-0.0017855167388916016,-0.1342087,30.857142857142858,-0.1369234
5,4.495854,31.80582459459507,452.7269079685211,0.23330842775000002,0.06000816,491,12,251.64018,0.09409511089324951,-0.11191229,40.916666666666664,-0.13487561
1,4.5008683,27.291423080986082,713.7099289894104,0.21733621600000003,0.04524833,629,13,140.0125,0.3445936441421509,-0.12992847,48.38461538461539,-0.13502604
4,4.4555144,16.211393640490503,942.9918529987335,0.20482503600000002,0.04876422,1014,17,166.96988,0.5072506070137024,-0.13413462,59.64705882352941,-0.13366543
4,4.340331,16.100475441470564,1227.7107174396515,0.20816361857142857,0.041471176,1272,21,249.48967,0.23228228092193604,-0.109670825,60.57142857142857,-0.13020994
2,4.3622,13.412925219811175,1318.8509304523468,0.1939766891304348,0.045278244,1512,23,81.842575,0.5938943922519684,-0.110187225,65.73913043478261,-0.130866
5,4.3225193,10.820554442065085,1673.5531904697418,0.20506398592857142,0.047261626,1782,28,136.90602,0.5619570314884186,-0.11231073,63.642857142857146,-0.12967557
3,4.297738,12.022532869424877,1857.930656671524,0.19146501932258064,0.054017313,2019,31,181.51921,0.2606653571128845,-0.12878062,65.12903225806451,-0.12893215
3,4.258585,11.429970749029314,2120.934390068054,0.20123509955882354,0.044561155,2185,34,100.35452,0.5635628700256348,-0.09852014,64.26470588235294,-0.12775755
7,4.193931,12.797788460112448,2319.8058545589447,0.18987200070731708,0.055503294,2548,41,160.62878,0.24629628658294678,-0.13826126,62.146341463414636,-0.12581792
3,4.2218237,14.066199813129622,2582.279116868973,0.1859140334318182,0.04808058,2725,44,127.40858,0.3965303897857666,-0.12980027,61.93181818181818,-0.1266547
4,4.159409,14.952868238445028,2824.758858680725,0.18063132654166666,0.04093276,2977,48,101.57416,0.3124437928199768,-0.10957122,62.020833333333336,-0.124782264
7,4.050797,19.59689385491224,3181.4162380695343,0.17037693636363632,0.046418913,3268,55,172.99432,0.4128817319869995,-0.12034454,59.41818181818182,-0.12152391
4,3.9416635,20.36453834225259,3437.547753572464,0.16637225030508476,0.06324963,3522,59,114.63907,0.3888814449310303,-0.1250638,59.69491525423729,-0.11824991
7,3.7552035,23.95417970548484,3535.5104517936707,0.16000294680303032,0.05160109,3778,66,158.62994,0.5155138075351715,-0.09368096,57.24242424242424,-0.1126561
9,3.714697,28.099325172681777,3705.620206594467,0.15240062854666667,0.061404824,4093,75,217.32466,0.30969351530075073,-0.10828532,54.57333333333333,-0.11144091
9,3.477098,31.061725656917467,3844.2830073833466,0.15104939401190476,0.051521644,4337,84,286.6813,0.30582761764526367,-0.08984998,51.63095238095238,-0.104312934
12,3.725556,36.09167281930514,3998.1315281391144,0.14287277436458334,0.052817613,4598,96,292.32907,0.46362000703811646,-0.10289323,47.895833333333336,-0.11176668
13,3.7279544,42.05115029168561,4163.1682097911835,0.11851825008999999,0.042478833,4854,109,280.20746,0.5276532173156738,-0.11910777,45.11,-0.11183863
13,3.7130365,50.636258699349234,4311.890307188034,0.10796269057,0.04975516,5119,122,213.95279,0.5234746038913727,-0.082058825,37.73,-0.1113911
7,2.8782284,56.18285199406922,4416.848248720169,0.09706823466999998,0.08728796,5358,129,303.8065,0.3367149233818054,-0.06533376,34.48,-0.08634685
15,3.6458173,64.62258189798926,4619.994725704193,0.08063327038999998,0.042319052,5631,144,247.67871,0.5778125524520874,-0.07242245,29.06,-0.109374516
12,3.5617175,67.71872312581465,4816.976090192795,0.0745247946,0.059615854,5861,156,260.06613,0.5545210838317871,-0.08105809,25.25,-0.106851526
13,3.5630007,71.57717452180455,4955.836343050003,0.06626813922000001,0.047615934,6143,169,266.2609,0.6051410734653473,-0.08102986,22.46,-0.10689001
14,3.3023365,74.28588861260896,5126.617772579193,0.05973141344,0.056711096,6391,183,248.27867,0.6400131583213806,-0.08674585,20.77,-0.099070095
16,3.3891065,75.31582253521698,5308.12175989151,0.05721571298000001,0.07179633,6648,199,275.35565,0.6324155330657959,-0.07767614,19.64,-0.10167319
12,3.139583,72.80222722059767,5496.1211373806,0.06227997500000001,0.041374654,6876,211,183.78008,0.6727918088436127,-0.085866444,19.73,-0.09418749
20,3.1874406,73.60128533334473,5735.863915920258,0.06989174952,0.06817682,7161,231,208.62677,0.7407625317573547,-0.08000123,17.59,-0.09562322
21,3.202201,74.5040553683074,5948.789392948151,0.07093772889,0.09098372,7421,252,165.18465,0.7680860757827759,-0.07698387,16.34,-0.09606602
17,3.0157886,74.90879967914442,6118.348535299301,0.07187397016,0.049737435,7673,269,193.79668,0.7447751462459564,-0.046911877,15.3,-0.09047366
18,3.186718,73.97250756490001,6307.674067020416,0.0731898938,0.05685684,7930,287,143.71986,0.7830258905887604,-0.068760924,14.99,-0.09560154
19,2.9086528,77.22028072896903,6494.01494550705,0.06755438525,0.08065187,8190,306,122.26233,0.8114272356033325,-0.06515928,14.08,-0.08725958
22,3.0222008,79.24718367106564,6711.068395853043,0.05852462176999999,0.054822706,8432,328,124.63039,0.7663252800703049,-0.06502465,12.99,-0.090666026
29,2.7545567,80.50281934106812,6949.1399648189545,0.057458067900000014,0.12114151,8691,357,149.89928,0.8531343638896942,-0.06865048,11.88,-0.0826367
12,3.349051,81.12343917943528,7117.588860750198,0.05911560757999999,0.06762664,8832,369,70.01001,0.8363625705242157,-0.086739644,11.59,-0.10047153
0,3.0218315,81.12343917943528,7167.563426494598,0.05911560757999999,0.10456093,8832,369,11.046814,-0.5281003713607788,-0.072832,11.59,-0.09065494
