#{"env_id": "HalideHarris-v3", "t_start": 1533496927.6385033}
r,l,t,best_exec,best_schedule
10.91868,11,6.857879,0.522965944,"shifted.tile(x, y, xi, yi, 128, 32); shifted.vectorize(x, 8); "
-5.068256,45,54.526888,0.44352337,"shifted.tile(x, y, xi, yi, 512, 512); shifted.vectorize(x, 4); Iy.compute_at(shifted, x); shifted.bound(x, 0, 3848); Iy.unroll(x, 2); Iy.vectorize(x, 16); Iy.unroll(x, 4); shifted.unroll(xi, 4); "
-0.767512,51,125.99088,0.408469471,"shifted.tile(x, y, xi, yi, 256, 16); Iy.compute_at(shifted, yi); Iy.vectorize(x, 4); shifted.unroll(x, 2); Iy.unroll(x, 4); Iy.unroll(x, 2); shifted.bound(y, 0, 2568); shifted.unroll(xi, 4); shifted.vectorize(x, 8); shifted.compute_root(); Iy.unroll(x, 3); Iy.compute_at(shifted, x); "
49.448849,18,135.698241,0.235100288,"shifted.tile(x, y, xi, yi, 128, 32); shifted.vectorize(x, 16); gray.compute_at(shifted, x); "
30.707918,12,144.095703,0.398712434,n/a
-24.916109,135,269.421893,0.085414423,"shifted.tile(x, y, xi, yi, 16, 128); Iy.compute_at(shifted, x); shifted.vectorize(xi, 4); Iy.vectorize(x, 8); Ix.compute_at(shifted, x); Ix.compute_at(shifted, yi); Iy.unroll(x, 2); Ix.vectorize(x, 4); shifted.unroll(x, 2); shifted.bound(x, 0, 3848); Ix.store_at(shifted, y); Ix.unroll(x, 3); gray.compute_at(shifted, x); gray.unroll(x, 3); Ix.unroll(x, 2); shifted.unroll(x, 4); Iy.unroll(x, 3); gray.unroll(x, 2); Iy.store_at(shifted, y); shifted.compute_root(); shifted.unroll(xi, 4); gray.vectorize(x, 4); Iy.unroll(x, 4); shifted.parallel(y); "
37.851564,22,298.750256,0.325019333,n/a
78.553924,31,341.956792,0.01617594,"shifted.bound(y, 0, 2568); shifted.tile(x, y, xi, yi, 512, 128); shifted.compute_root(); shifted.vectorize(xi, 4); Ix.compute_at(shifted, yi); shifted.unroll(x, 3); gray.compute_at(shifted, x); Ix.vectorize(x, 16); Ix.unroll(x, 2); shifted.unroll(xi, 2); Iy.compute_at(shifted, yi); Ix.unroll(x, 3); shifted.parallel(y); "
48.346692,57,374.228922,0.037385411,n/a
5.807973,109,487.88298,0.034334953,n/a
48.442407,29,517.526853,0.215303846,n/a
39.263955,46,541.505731,0.176805864,n/a
69.185247,37,562.602604,0.02522702,n/a
-31.131367,48,614.788661,0.569588004,n/a
30.799583,63,686.746314,0.12697264,n/a
-41.800946,59,711.22727,0.593854987,n/a
25.520539,85,764.372442,0.036235754,n/a
33.200986,58,793.869236,0.130931175,n/a
45.368127,47,819.261765,0.109986822,n/a
48.38143,32,872.899332,0.222320101,n/a
58.950302,43,914.222549,0.0664588,n/a
70.152739,21,933.133068,0.104798173,n/a
75.110269,37,961.977342,0.019109832,n/a
15.39549,48,996.131482,0.308196314,n/a
23.519953,33,1072.922296,0.366890371,n/a
69.503909,33,1090.625975,0.042958745,n/a
