#{"t_start": 1534519364.491781, "env_id": "HalideHarris-v4"}
r,l,t,best_exec,best_schedule
91.254303,9,23.775326,0.004940712,"shifted.gpu_tile(x, y, xi, yi, 8, 32); "
0.0,1,23.797174,0.662562956,n/a
96.680553,5,46.282891,0.00211654,"shifted.gpu_tile(x, y, xi, yi, 32, 32); shifted.unroll(yi, 4); "
83.396217,20,61.981974,0.010626072,n/a
48.124193,40,112.831466,0.158192253,n/a
44.200248,66,163.47802,0.005298858,n/a
64.792098,41,195.227301,0.008003113,n/a
-20.0,22,203.106658,0.005652814,n/a
-31.883015,34,211.469294,0.004012801,n/a
81.75238,21,231.533835,0.001640641,"shifted.gpu_tile(x, y, xi, yi, 32, 16); shifted.unroll(yi, 2); shifted.unroll(yi, 4); "
-189.165759,319,453.91128,0.007723887,n/a
-12.577008,134,539.716757,0.003823042,n/a
63.564843,44,573.213133,0.002883188,n/a
-13.250379,95,672.852616,0.226930324,n/a
85.609186,13,691.804546,0.042343164,n/a
22.703353,85,740.548851,0.001965473,n/a
51.253523,59,786.375047,0.00494588,n/a
69.146847,39,834.294485,0.005652675,n/a
-4.408867,119,939.239849,0.002709003,n/a
-8.551014,118,993.206035,0.003650813,n/a
96.254113,8,1012.41145,0.00494197,n/a
41.581314,58,1081.525271,0.069030357,n/a
-342.609751,449,1320.175748,0.169680725,n/a
-21.831975,33,1363.264528,0.004199766,n/a
-34.945376,42,1393.561996,0.006069626,n/a
-38.880527,49,1434.476531,0.004061201,n/a
67.212749,38,1463.246286,0.01184166,n/a
-2.50613,111,1502.350133,0.003353429,n/a
-4.218727,7,1510.380985,0.003029506,n/a
71.57257,32,1534.346603,0.002831995,n/a
76.422464,28,1563.230992,0.010452167,n/a
73.254219,30,1579.202938,0.00494127,n/a
97.276682,5,1591.040246,0.004792439,n/a
96.94799,6,1605.681014,0.00697023,n/a
-13.896898,20,1633.54798,0.004979544,n/a
86.778901,21,1670.697773,0.001464921,"shifted.compute_root(); shifted.gpu_tile(x, y, xi, yi, 8, 32); shifted.bound(y, 0, 2568); shifted.unroll(yi, 2); gray.compute_at(shifted, x); gray.gpu_threads(x, y); gray.unroll(y, 2); gray.unroll(x, 3); "
54.281499,52,1697.208565,0.004760521,n/a
70.205382,45,1773.173542,0.005264845,n/a
16.371436,33,1829.316654,0.395076776,n/a
71.638715,33,1847.238552,0.00239374,n/a
-12.0,15,1858.195846,0.004947626,n/a
78.39725,24,1869.918993,0.010619227,n/a
41.655599,38,1892.022082,0.174548244,n/a
26.90989,29,1932.442262,0.331878516,n/a
84.834912,13,1961.876459,0.054098849,n/a
71.255694,33,1989.076769,0.004931493,n/a
74.345062,28,1995.778852,0.004339378,n/a
81.636681,24,2026.925981,0.00240722,n/a
58.591333,46,2053.654818,0.002707677,n/a
-9.0,14,2073.334493,0.662562956,n/a
92.253249,10,2081.480245,0.004947696,n/a
97.253418,4,2085.409862,0.004946579,n/a
57.03164,23,2108.791745,0.185307992,n/a
90.253913,13,2127.363497,0.004943296,n/a
-11.954262,15,2139.459441,0.004467467,n/a
83.253597,21,2172.378603,0.004945392,n/a
47.777942,39,2190.115608,0.133983868,n/a
-11.0,13,2197.758766,0.004945042,n/a
93.84241,7,2205.100613,0.007669761,n/a
76.353213,15,2227.647349,0.097044184,n/a
93.203094,10,2257.498229,0.005280001,n/a
98.277588,4,2264.851205,0.004786432,n/a
96.422918,6,2276.835457,0.003823531,n/a
97.252785,6,2292.766804,0.004950769,n/a
-5.313417,8,2300.993324,0.003136991,n/a
93.841462,7,2304.904234,0.007676046,n/a
68.607932,8,2316.313554,0.174864066,n/a
87.243119,17,2335.626482,0.005014814,n/a
0.0,1,2339.196502,0.662562956,n/a
94.253333,7,2346.916188,0.004947137,n/a
94.070688,8,2355.102875,0.006157277,n/a
68.203,35,2370.211454,0.00528063,n/a
96.419439,6,2377.386849,0.003846579,n/a
96.252543,5,2389.142061,0.004952375,n/a
96.254809,6,2403.455687,0.004937359,n/a
-2.0,3,2405.835289,0.004775957,n/a
54.902504,28,2428.160292,0.153035452,n/a
70.161781,7,2438.069287,0.171194465,n/a
98.265561,3,2444.111179,0.004866121,n/a
98.422665,4,2456.07438,0.003825208,n/a
0.0,1,2459.426517,0.006442369,n/a
