EpisodesSoFar,EpRewMean,EpLenMean,EpThisIter,loss_ent,TimeElapsed,loss_pol_entpen,loss_kl,loss_pol_surr,EpExecMean,ev_tdlam_before,TimestepsSoFar,loss_vf_loss
5,49.50940934274096,36.4,5,4.4954634,222.87032556533813,-0.1348639,0.02656558,-0.10857773,0.0362395664,-0.0014753341674804688,182,649.6111
8,8.088893075993383,63.5,3,4.479456,531.249832868576,-0.13438368,0.025765792,-0.1182518,0.024883899249999997,0.3677971363067627,508,62.15772
12,23.99033116492633,58.75,4,4.4416337,750.7747268676758,-0.13324901,0.03496639,-0.09585561,0.018070407666666663,0.15577322244644165,705,440.37256
20,25.547264335185545,50.9,8,4.4094505,949.6390402317047,-0.13228352,0.046497762,-0.09402897,0.012620204599999999,0.35256427526474,1018,396.72427
22,18.289589059044204,57.13636363636363,2,4.382517,1150.025783777237,-0.13147551,0.05368247,-0.09277339,0.012162818181818181,0.2327670454978943,1257,156.42865
34,37.58788075316371,44.61764705882353,12,4.206739,1382.2377586364746,-0.12620217,0.082291,-0.12622944,0.009680482588235294,0.4979037642478943,1517,645.74316
47,41.57598017064833,38.12765957446808,13,4.100856,1622.5715906620026,-0.12302568,0.07519201,-0.095819846,0.036499228638297875,0.47280895709991455,1792,355.9203
59,43.067248477568505,34.69491525423729,12,4.128873,1872.5458471775055,-0.12386617,0.04655006,-0.11935185,0.04157106730508474,0.14104235172271729,2047,396.5068
89,50.114464077914185,25.337078651685392,30,4.0657845,2214.8129205703735,-0.12197353,0.054796137,-0.09577639,0.040453814337078654,0.3142983317375183,2255,990.4881
112,56.797942201468196,18.55,23,4.0244036,2566.412839651108,-0.120732106,0.07610374,-0.12302682,0.044953284229999994,0.39899641275405884,2560,837.80505
127,65.49198423902263,13.38,15,3.9658456,2831.7324028015137,-0.11897536,0.07985527,-0.12497075,0.04518047022999999,0.449882447719574,2739,552.75305
127,65.49198423902263,13.38,0,4.0602856,3068.586061477661,-0.12180856,0.07980545,-0.06711169,0.04518047022999999,0.17421847581863403,2739,8.168337
127,65.49198423902263,13.38,0,3.9955518,3145.2082285881042,-0.11986655,0.08904462,-0.04215046,0.04518047022999999,-0.16857588291168213,2739,12.213889
127,65.49198423902263,13.38,0,3.9491305,3434.101844072342,-0.11847391,0.081510745,-0.04749006,0.04518047022999999,-0.3036872148513794,2739,47.917137
127,65.49198423902263,13.38,0,3.911687,3638.9432969093323,-0.11735061,0.051349334,-0.039805483,0.04518047022999999,-0.033408284187316895,2739,63.311504
127,65.49198423902263,13.38,0,3.9846718,3899.6184418201447,-0.119540155,0.083362445,-0.0974866,0.04518047022999999,0.7195906639099121,2739,10.133835
168,53.87564508812528,22.38,41,3.9941785,4384.559210538864,-0.119825356,0.1500338,-0.10888691,0.07980314115,0.046510279178619385,4348,1223.6726
187,55.69657857447542,23.58,19,4.0314584,4665.147763967514,-0.12094375,0.09976055,-0.11717449,0.07821663914,0.4235684871673584,4608,607.86487
196,54.22643600150849,24.25,9,4.0005836,4850.71107673645,-0.12001751,0.07176529,-0.076345295,0.07900063409999998,0.5038462281227112,4856,202.7493
217,56.94666328163212,24.99,21,3.6436615,5178.808820724487,-0.109309845,0.086535774,-0.09434359,0.07655075484,0.5710543096065521,5103,441.44562
263,70.1813160089194,10.65,46,3.551816,5600.88872051239,-0.10655448,0.06610419,-0.13112587,0.042336795829999996,0.6945562362670898,5375,595.8197
300,72.57390771874661,7.23,37,3.4068232,5968.76810836792,-0.10220469,0.05468233,-0.08275047,0.024482193620000006,0.5131948292255402,5630,534.1883
338,73.35653743720634,6.26,38,3.435516,6321.866483211517,-0.10306547,0.04400877,-0.10417843,0.0374737151,0.6941126883029938,5879,399.00342
392,73.34618718452792,5.38,54,3.3199806,6728.130833387375,-0.099599406,0.07592517,-0.10235409,0.04866910313,0.7711934298276901,6114,561.8545
440,73.12269555134472,4.98,48,3.4546723,7150.8041825294495,-0.10364016,0.036377266,-0.08692264,0.04364959958999999,0.7243385016918182,6396,464.9528
484,73.9816501365472,5.67,44,2.9873223,7539.853774309158,-0.08961967,0.082372636,-0.09700546,0.04695873336000001,0.7771550416946411,6655,278.29486
530,74.89533041815297,5.53,46,3.142529,7960.619768619537,-0.09427587,0.09156211,-0.0991932,0.04225993470000001,0.6230853199958801,6903,528.475
570,77.62662864077242,5.86,40,3.0648196,8309.436954259872,-0.09194459,0.062114477,-0.08701722,0.03551012730999999,0.6834729611873627,7167,314.67047
