EpRewMean,EpLenMean,loss_vf_loss,ev_tdlam_before,TimestepsSoFar,EpThisIter,loss_pol_surr,loss_kl,loss_pol_entpen,EpExecMean,EpisodesSoFar,loss_ent,TimeElapsed
-49.29551811891656,80.66666666666667,46.214657,-0.033151865005493164,242,3,-0.12751862,0.018319275,-0.21710189,0.2836959923333333,3,7.2367296,451.62379264831543
-49.29551811891656,80.66666666666667,9.148876,-0.03353393077850342,242,0,-0.13061021,0.02509145,-0.21628374,0.2836959923333333,3,7.209458,984.2431216239929
-96.54676921299938,134.0,50.313652,0.17314308881759644,536,1,-0.10604831,0.01866104,-0.2155557,0.27427566025,4,7.18519,1330.47305560112
-159.8374153703995,201.0,98.04553,0.5210944712162018,1005,1,-0.107691765,0.04605104,-0.21456414,0.282570556,5,7.152138,1846.8290703296661
-159.8374153703995,201.0,18.435883,0.4965866804122925,1005,0,-0.13298953,0.04637864,-0.21330307,0.282570556,5,7.1101027,2224.946990966797
-176.86451280866626,217.66666666666666,103.73638,0.598156750202179,1306,1,-0.14184396,0.03962508,-0.21221545,0.2882728313333333,6,7.0738482,2660.808211326599
-171.96177155355738,215.875,33.776802,-0.14834129810333252,1727,2,-0.14348172,0.053017568,-0.21227334,0.295572895375,8,7.0757785,3265.389006137848
-161.62058524416932,206.11111111111111,20.290335,0.4807548522949219,1855,1,-0.14808594,0.035498418,-0.21159704,0.29618538299999997,9,7.053235,3654.143630027771
-162.62694813984552,206.4,50.17819,-0.4305541515350342,2064,1,-0.11373215,0.041255705,-0.21287341,0.2921854726,10,7.0957804,4022.092512845993
-156.2730326115864,202.33333333333334,81.02611,-0.0638725757598877,2428,2,-0.13705668,0.048659336,-0.21178596,0.28032367091666666,12,7.059532,4546.71187877655
-169.02126087223357,215.15384615384616,112.22565,0.3164728283882141,2797,1,-0.15196939,0.0649719,-0.21113375,0.28324165315384614,13,7.037792,4967.747280597687
-169.02126087223357,215.15384615384616,42.520134,0.32237428426742554,2797,0,-0.15129139,0.058988534,-0.20717752,0.28324165315384614,13,6.905917,5387.3461310863495
-175.43502516166063,225.85714285714286,35.108936,0.6583653688430786,3162,1,-0.11692209,0.045212634,-0.2078,0.27842603335714283,14,6.9266667,5816.729977607727
-179.4797667657562,230.53333333333333,36.137733,0.47189027070999146,3458,1,-0.11513457,0.05435123,-0.20684499,0.2752750843333333,15,6.8948336,6293.129266262054
-177.04993116186068,230.25,31.689339,0.47205227613449097,3684,1,-0.12838885,0.06754965,-0.20564693,0.2723128888125,16,6.8548975,6814.70315527916
-158.23922294181918,214.21052631578948,83.41804,0.1254144310951233,4070,3,-0.15206186,0.08910978,-0.20178594,0.26622498194736843,19,6.726198,7291.818984985352
-139.3387318826488,195.54545454545453,21.895325,0.3791181445121765,4302,3,-0.14295581,0.10846143,-0.2071733,0.2597085716363636,22,6.905777,7681.093816518784
-137.1729335629781,194.17391304347825,40.46259,-0.05970942974090576,4466,1,-0.123987794,0.08489321,-0.2057475,0.257898942,23,6.8582506,8005.07248711586
-133.65955987580372,191.52,29.5523,0.5536421239376068,4788,2,-0.13968143,0.11469398,-0.1996547,0.25604568276,25,6.655157,8299.094203472137
-126.59859424449544,185.22222222222223,25.044483,0.6129385232925415,5001,2,-0.14282341,0.11323312,-0.19843799,0.25339822777777776,27,6.6146,8712.748044013977
-123.67540842797385,183.68965517241378,19.579613,0.7266531884670258,5327,2,-0.14289753,0.14729285,-0.19533661,0.25078453968965514,29,6.511221,9095.253485918045
-117.70507010644207,178.06451612903226,27.39182,0.5354694128036499,5520,2,-0.13830382,0.14092386,-0.197274,0.24874166441935483,31,6.5758004,9437.347479581833
-108.014536304505,167.38235294117646,40.58986,0.3894074559211731,5691,3,-0.13595884,0.09465019,-0.19770265,0.24458316029411767,34,6.590089,9773.401886940002
-108.86131092838272,168.63888888888889,25.44045,0.1171906590461731,6071,2,-0.16326858,0.09490472,-0.19826598,0.24328705361111108,36,6.608866,10260.207599401474
-102.78795373153223,162.64102564102564,23.075972,0.6145116686820984,6343,3,-0.14029518,0.076645926,-0.19213678,0.24286446953846152,39,6.404559,10638.454672813416
-96.07129800028436,156.28571428571428,115.24663,0.38381415605545044,6564,3,-0.1123147,0.0735514,-0.19351648,0.23925241661904761,42,6.450549,10968.92821931839
-88.64598908819937,149.7173913043478,58.175514,0.5170981884002686,6887,4,-0.11157115,0.087566495,-0.19435266,0.23507696047826093,46,6.478422,11339.360080957413
-86.49350118361203,148.0,12.769087,0.5845338404178619,7104,2,-0.14341879,0.07592565,-0.19940053,0.2339196278333333,48,6.6466846,11729.679821968079
-83.1000907894922,145.1764705882353,21.764198,0.46411794424057007,7404,3,-0.14656295,0.08288801,-0.19530672,0.23190110749019607,51,6.5102243,12035.90867114067
-81.35758438259504,142.96226415094338,13.300954,0.5579671561717987,7577,2,-0.14601429,0.0966341,-0.19795609,0.2306533084528302,53,6.5985365,12406.318586587906
-77.79777889598687,139.21052631578948,16.657402,0.7543345987796783,7935,4,-0.12514013,0.07267164,-0.19658946,0.23130965303508771,57,6.5529823,12839.168178081512
-73.5085888518427,136.03333333333333,22.53573,0.7374090552330017,8162,3,-0.15048538,0.11067482,-0.19281076,0.22727848743333334,60,6.427026,13218.486905813217
-68.67612619971273,131.6875,19.460016,0.3323060870170593,8428,4,-0.13393268,0.12647262,-0.19500142,0.224974616359375,64,6.500048,13638.028806686401
-65.57610545276542,129.07462686567163,22.900038,-0.1923205852508545,8648,3,-0.13096066,0.07462157,-0.19965164,0.22312914541791043,67,6.655055,14084.43925857544
-61.27033207159448,124.20833333333333,46.809624,-0.03624403476715088,8943,5,-0.13071115,0.06673486,-0.19505693,0.22369893462499998,72,6.501898,14573.249940633774
-59.497370145795585,122.22666666666667,22.594418,-1.3099539279937744,9167,3,-0.13822316,0.069706485,-0.19772658,0.22293091408,75,6.590886,15111.056936740875
-59.82105242654066,122.72727272727273,27.488695,-0.7558131217956543,9450,2,-0.14733118,0.07108443,-0.19935864,0.2218903184285714,77,6.645289,15727.132128715515
-54.53033236389359,116.89156626506023,30.152996,0.23628050088882446,9702,6,-0.1035582,0.081636414,-0.18748823,0.22084275740963857,83,6.249608,16183.687328100204
-48.80934640138429,110.93333333333334,18.316093,0.5864000618457794,9984,7,-0.11508516,0.060206056,-0.18246366,0.21928828994444444,90,6.0821223,16661.550852775574
-45.534829545870984,107.5578947368421,36.056667,0.01224207878112793,10218,5,-0.10352808,0.15424576,-0.19516258,0.21805734691578946,95,6.5054197,17053.14816260338
-40.92189796599885,102.34,38.2331,0.0010508894920349121,10475,7,-0.13038133,0.09926169,-0.19522063,0.21782458363000004,102,6.5073547,17575.487756729126
-24.34149532780758,86.85,48.413136,0.3161773085594177,10749,8,-0.12069343,0.08293575,-0.18746987,0.20990466591,110,6.248996,18070.803126335144
-9.029539186892222,71.03,60.288036,0.19687962532043457,10991,7,-0.12398046,0.07627246,-0.18968709,0.20545098224000002,117,6.322903,18585.001185894012
-0.7989338411067493,62.53,56.022396,0.4719007611274719,11254,10,-0.1281662,0.07019822,-0.1847965,0.20055915488000003,127,6.1598835,19097.803079128265
7.289543269750422,55.25,52.08929,0.2952003479003906,11515,8,-0.105296105,0.05624105,-0.17854589,0.19519053363999997,135,5.9515295,19519.645253181458
11.076857689799802,52.06,55.317528,0.43088507652282715,11770,7,-0.12755215,0.09004872,-0.17578578,0.19038288734999997,142,5.8595257,19907.1010825634
14.083621062244447,48.41,50.72384,0.022350668907165527,12019,7,-0.11926418,0.1923362,-0.17668234,0.18876509923000004,149,5.889411,20249.20931148529
21.009740810458347,42.54,78.263626,0.46009641885757446,12266,9,-0.11135995,0.07810832,-0.17280303,0.18170083358,158,5.760101,20691.77976346016
23.95522081683306,39.71,78.260345,0.5483748316764832,12518,8,-0.10053879,0.06322337,-0.1771903,0.17805054397000003,166,5.906344,21092.38988494873
28.50452963550514,36.09,48.27936,0.6696546971797943,12776,9,-0.10370415,0.07726112,-0.1746098,0.17176702078000003,175,5.820327,21536.308754205704
32.868564720435124,33.35,59.600254,0.4906826615333557,13037,8,-0.09003872,0.13179481,-0.18103786,0.16560813286000006,183,6.0345955,21938.016232013702
33.97048672546351,33.23,48.57808,0.5588133037090302,13307,7,-0.09624,0.08216992,-0.17747745,0.16180818942999997,190,5.9159155,22343.014566898346
35.984211543962644,32.55,53.833046,0.5182062089443207,13566,8,-0.092376664,0.07297543,-0.1791286,0.15710232286,198,5.970954,22808.444060087204
38.87526508853964,31.83,44.267185,0.5341660380363464,13824,9,-0.0803341,0.11143991,-0.17787214,0.14906969312,207,5.9290714,23267.473873853683
39.75016738461793,31.2,58.302235,0.5500286817550659,14065,9,-0.065074295,0.10510204,-0.17090578,0.14743344736,216,5.6968594,23734.1723446846
41.50550113329636,30.7,54.44308,0.7045044302940369,14324,11,-0.07699773,0.09627415,-0.16501068,0.14262381896999998,227,5.5003557,24203.07632613182
42.725378543232175,30.23,36.42056,0.7232843935489655,14583,9,-0.069227435,0.097649515,-0.17364818,0.13941683294,236,5.788273,24627.291909456253
44.28314531342928,28.92,66.17972,0.5829070508480072,14840,11,-0.088730924,0.11794031,-0.17057064,0.13784364478,247,5.685688,25110.012325763702
44.85005303693763,28.8,37.106644,0.6643844246864319,15094,9,-0.06260533,0.13268715,-0.17293866,0.13635055335000001,256,5.7646227,25539.033821821213
45.81979091015123,27.86,36.465576,0.752429261803627,15342,11,-0.07965529,0.065776914,-0.17519958,0.13550460293,267,5.8399863,26014.244390249252
46.48487369721817,26.85,48.187073,0.6350363194942474,15615,13,-0.091140226,0.11013944,-0.16974361,0.1355492797,280,5.6581206,26514.1246175766
46.832099588936565,24.61,80.61123,0.5300339460372925,15869,13,-0.09796214,0.12005403,-0.1709742,0.13927580104999998,293,5.69914,27102.92936015129
47.29388802096818,23.88,56.754654,0.6540359854698181,16105,10,-0.08933379,0.10673579,-0.17054963,0.13891639431999997,303,5.684988,27544.95074892044
49.22077304964182,23.38,55.330173,0.7237469851970673,16373,11,-0.07310697,0.09633324,-0.16984212,0.13313366033000001,314,5.661404,27963.327765226364
