EpisodesSoFar,EpExecMean,TimeElapsed,loss_pol_surr,ev_tdlam_before,loss_pol_entpen,TimestepsSoFar,EpLenMean,EpRewMean,loss_kl,loss_ent,loss_vf_loss,EpThisIter
0,nan,330.2670214176178,-0.1363346,0.033582091331481934,-0.21716961,0,nan,nan,0.015915694,7.238988,65.70363,0
3,0.31585883466666664,805.2434530258179,-0.13845722,0.21169018745422363,-0.21572119,406,135.33333333333334,-120.32531892489457,0.04370155,7.190707,83.29907,3
4,0.31852980399999997,1286.556268453598,-0.13502628,0.7310319542884827,-0.21544309,610,152.5,-126.49398919367093,0.04229126,7.1814365,51.409836,1
5,0.32013238559999996,1734.8442203998566,-0.14828834,-0.18506765365600586,-0.21402214,881,176.2,-149.39519135493674,0.045995973,7.1340723,78.50342,1
9,0.31339530755555556,2165.7962770462036,-0.1317215,0.39457786083221436,-0.21295421,1249,138.77777777777777,-108.15255443826901,0.03686595,7.098474,69.78862,4
10,0.3139361926,2526.636841773987,-0.1546817,0.5716603398323059,-0.20989715,1428,142.8,-110.1372989944421,0.066736214,6.9965715,27.836798,1
11,0.31284579490909087,3109.840423107147,-0.11886169,-0.11914277076721191,-0.21057916,1754,159.45454545454547,-126.10931843149177,0.05440765,7.019306,79.8553,1
12,0.31335984375,3632.804927110672,-0.15612495,0.27105557918548584,-0.20904568,1884,157.0,-125.68354189553412,0.059430115,6.9681892,33.081005,1
13,0.31353521876923074,4137.904796361923,-0.13706464,-0.36567842960357666,-0.20741399,2170,166.92307692307693,-135.40019251895458,0.079012774,6.9138,88.61551,1
15,0.30918282273333325,4563.04612159729,-0.13877925,0.6857498586177826,-0.20848879,2502,166.8,-132.94389368661416,0.052991696,6.949627,42.436142,2
15,0.30918282273333325,4914.864834785461,-0.13153583,0.37989646196365356,-0.20799284,2502,166.8,-132.94389368661416,0.1077041,6.933094,50.786133,0
17,0.30939627823529414,5411.820424079895,-0.14670166,0.3092392086982727,-0.20901354,3068,180.47058823529412,-145.20926867006241,0.05265335,6.9671183,54.93351,2
19,0.3085973322105263,6029.165843963623,-0.15149865,-0.44107067584991455,-0.20773366,3302,173.78947368421052,-136.77433284230145,0.069521084,6.9244556,31.369555,2
19,0.3085973322105263,6422.038249492645,-0.15168889,0.5807942748069763,-0.20838259,3302,173.78947368421052,-136.77433284230145,0.07742651,6.9460864,16.561459,0
21,0.3048481134761905,7004.333313941956,-0.13727912,-0.8306444883346558,-0.20606402,3789,180.42857142857142,-140.93380555403496,0.059397664,6.8688006,57.77503,2
23,0.3014164294782609,7401.7103407382965,-0.12928505,-1.5285120010375977,-0.20765153,4070,176.95652173913044,-137.68694962396646,0.065860495,6.9217176,90.85469,2
23,0.3014164294782609,7802.006521463394,-0.15193826,0.8830656632781029,-0.2091307,4070,176.95652173913044,-137.68694962396646,0.059715252,6.9710236,32.689438,0
24,0.3011025645416667,8305.814777374268,-0.11621827,0.7149109542369843,-0.20694076,4358,181.58333333333334,-142.1999325272544,0.043569617,6.8980255,25.959461,1
25,0.30169353515999997,8836.048221349716,-0.14106983,0.36932510137557983,-0.20565104,4799,191.96,-152.0179576503303,0.07116799,6.8550353,35.258675,1
26,0.3022178899615384,9309.85627579689,-0.15574524,0.6036131083965302,-0.20770547,4964,190.92307692307693,-150.6711131253176,0.0771068,6.9235153,4.8336425,1
26,0.3022178899615384,9740.154391527176,-0.13211973,0.7898262739181519,-0.20693693,4964,190.92307692307693,-150.6711131253176,0.090587765,6.8978977,16.318455,0
28,0.30319613014285707,10115.39246416092,-0.1175749,0.08072161674499512,-0.20469016,5592,199.71428571428572,-158.94460504493776,0.050045658,6.823005,50.65576,2
29,0.3036144879310344,10512.370328187943,-0.14697455,0.7469130754470825,-0.19843149,5742,198.0,-156.93154199750413,0.09815685,6.6143827,14.173966,1
30,0.3040126098333333,10824.117514371872,-0.12161355,0.8476176708936691,-0.19263706,5924,197.46666666666667,-156.15502729782762,0.12270578,6.421235,18.61591,1
32,0.30216756259375,11137.715354442596,-0.123656064,0.6997607946395874,-0.19912091,6367,198.96875,-156.365868776073,0.05761019,6.6373644,20.643532,2
33,0.3002577034848485,11481.172704696655,-0.13728312,0.34268420934677124,-0.1902983,6547,198.3939393939394,-155.08761759073334,0.116986595,6.343277,24.807085,1
36,0.29939121830555554,12022.030670642853,-0.14802168,0.6584033370018005,-0.19154567,6903,191.75,-147.67017466037066,0.1756427,6.3848553,28.519787,3
38,0.2939777154736842,12355.318325996399,-0.14755127,0.04412651062011719,-0.20121336,7074,186.1578947368421,-140.63971048618177,0.122548446,6.707112,137.21545,2
41,0.2877950590487805,12827.779065132141,-0.14297615,0.46465301513671875,-0.20135874,7412,180.78048780487805,-133.21937927350473,0.108425096,6.711958,49.58242,3
43,0.2827127099069767,13230.274455308914,-0.13443968,0.3526914715766907,-0.20457844,7606,176.88372093023256,-127.84481329836385,0.08488787,6.8192825,44.437664,2
46,0.2776206235869565,13556.296106815338,-0.1415816,0.5151836276054382,-0.20181526,7923,172.2391304347826,-121.82779023433527,0.085471995,6.7271757,42.319473,3
49,0.270028130122449,13955.692806482315,-0.13742016,0.23243266344070435,-0.20237362,8129,165.89795918367346,-113.76200848789449,0.09321515,6.7457876,81.63318,3
52,0.262816073,14399.430080652237,-0.13852388,0.2969527244567871,-0.20004804,8380,161.15384615384616,-107.03348254508566,0.073793605,6.668268,68.558975,3
56,0.2551371519285714,14885.149400949478,-0.13428971,0.26709306240081787,-0.1982997,8674,154.89285714285714,-98.7306214882367,0.0724307,6.6099906,55.30909,4
59,0.2490396773220339,15222.309135913849,-0.1436266,0.5328510105609894,-0.19527225,8908,150.98305084745763,-93.30606298122558,0.06952875,6.509075,34.179474,3
63,0.24176793512698408,15606.930204629898,-0.12912288,0.05213296413421631,-0.19082198,9216,146.28571428571428,-86.71779902701483,0.08717288,6.3607326,52.962955,4
67,0.23481543934328356,15983.694135189056,-0.1338013,0.2162407636642456,-0.18392122,9433,140.7910447761194,-79.82287612114526,0.10976697,6.1307077,93.193726,4
72,0.22980069119444446,16389.00018978119,-0.12699482,0.23739737272262573,-0.18446794,9704,134.77777777777777,-72.83845427921301,0.07813659,6.148932,57.99986,5
76,0.22449522407894737,16813.96728038788,-0.10931906,-0.07764017581939697,-0.18522093,9961,131.06578947368422,-67.79419251205593,0.08675976,6.1740313,91.86783,4
