#{"t_start": 1533146192.8327382, "env_id": "HalideInterpolate-v2"}
r,l,t,best_exec,best_schedule
0.0,1,7.36411,0.313856811,"downsampled[5].tile(x, y, xi, yi, 32, 128); downsampled[3].tile(x, y, xi, yi, 256, 128); "
0.0,1,13.234592,0.294285328,"interpolated[1].vectorize(x, 8); downsampled[4].split(y, yi, 16); "
-227.0,256,533.587425,0.319304082,n/a
-101.0,142,718.728,0.319304082,n/a
-132.194846,192,1095.108542,0.313540151,n/a
-137.489125,156,1518.935732,0.312835522,n/a
-9.50755,42,1592.138053,0.276222137,"interpolated[7].tile(x, y, xi, yi, 16, 512); downsampled[6].tile(x, y, xi, yi, 8, 256); downsampled[5].tile(x, y, xi, yi, 512, 256); downsampled[4].tile(x, y, xi, yi, 8, 8); interpolated[2].tile(x, y, xi, yi, 128, 512); downsampled[3].tile(x, y, xi, yi, 256, 256); downsampled[2].tile(x, y, xi, yi, 512, 8); interpolated[8].tile(x, y, xi, yi, 256, 64); downsampled[7].tile(x, y, xi, yi, 8, 512); interpolated[1].tile(x, y, xi, yi, 64, 256); interpolated[3].tile(x, y, xi, yi, 32, 128); downsampled[3].unroll(x, 4); interpolated[6].unroll(c, 3); interpolated[4].tile(x, y, xi, yi, 512, 64); interpolated[5].tile(x, y, xi, yi, 8, 8); downsampled[1].tile(x, y, xi, yi, 256, 32); interpolated[7].unroll(c, 4); downsampled[6].unroll(xi, 4); downsampled[1].parallel(y); "
-343.0,390,2365.466816,0.317618113,n/a
-443.0,499,3201.026512,0.319304082,n/a
-69.832159,112,3403.493662,0.315575117,n/a
-228.924309,289,3819.545284,0.313772722,n/a
-90.0,95,4126.498908,0.319304082,n/a
-250.463293,284,4632.555717,0.314397313,n/a
15.815872,11,4661.848625,0.258480356,"interpolated[4].tile(x, y, xi, yi, 256, 16); downsampled[2].tile(x, y, xi, yi, 16, 16); downsampled[3].tile(x, y, xi, yi, 256, 16); downsampled[1].tile(x, y, xi, yi, 64, 128); normalize.tile(x, y, xi, yi, 512, 8); downsampled[4].tile(x, y, xi, yi, 8, 8); interpolated[1].tile(x, y, xi, yi, 256, 512); interpolated[4].vectorize(xi, 16); normalize.vectorize(xi, 8); "
-244.857969,274,5156.954807,0.315657529,n/a
-277.090718,330,5808.753596,0.267583608,n/a
-179.0,205,6365.163046,0.319304082,n/a
-367.065468,416,7066.681114,0.306740962,n/a
