#{"env_id": "HalideInterpolate-v3", "t_start": 1536279037.3723125}
r,l,t,best_exec,best_schedule
-276.0,287,954.514432,0.308422321,n/a
-88.0,105,1291.398454,0.308422321,n/a
-35.892024,82,1512.483671,0.209394156,"interpolated[8].unroll(x, 2); downsampled[4].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); interpolated[2].unroll(c, 4); downsampled[8].gpu_tile(x, y, c, xi, yi, ci, 8, 8, 4); interpolated[8].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); downsampled[7].gpu_tile(x, y, c, xi, yi, ci, 16, 8, 4); interpolated[8].unroll(yi, 3); downsampled[4].unroll(yi, 3); downsampled[6].gpu_tile(x, y, c, xi, yi, ci, 16, 8, 4); downsampled[3].gpu_tile(x, y, c, xi, yi, ci, 8, 8, 4); downx[5].compute_at(downsampled[5], x); downsampled[2].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); downsampled[8].unroll(yi, 3); normalize.gpu_tile(x, y, c, xi, yi, ci, 8, 32, 3); "
-27.035114,58,1681.148998,0.243761933,n/a
36.325838,7,1706.579455,0.180964213,"interpolated[6].unroll(c, 4); normalize.gpu_tile(x, y, c, xi, yi, ci, 32, 8, 3); "
-280.797317,327,2495.910701,0.184428272,n/a
-124.0,109,2912.329482,0.308422321,n/a
-246.0,271,3868.448489,0.308422321,n/a
-17.0,20,3938.990647,0.308422321,n/a
-41.0,47,4102.772567,0.308422321,n/a
-24.0,27,4197.115765,0.308422321,n/a
-8.871699,63,4386.693538,0.166152344,"downsampled[6].gpu_tile(x, y, c, xi, yi, ci, 16, 16, 4); interpolated[4].gpu_tile(x, y, c, xi, yi, ci, 8, 16, 4); downsampled[8].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); interpolated[1].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); interpolated[8].unroll(y, 3); interpolated[3].unroll(c, 4); interpolated[5].gpu_tile(x, y, c, xi, yi, ci, 32, 8, 4); normalize.gpu_tile(x, y, c, xi, yi, ci, 16, 8, 3); "
-135.42098,250,5017.159214,0.090740869,"interpolated[1].unroll(x, 3); interpolated[5].unroll(x, 3); downsampled[6].gpu_tile(x, y, c, xi, yi, ci, 8, 8, 4); interpolated[6].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); downsampled[6].unroll(ci, 4); interpolated[8].unroll(y, 2); interpolated[7].gpu_tile(x, y, c, xi, yi, ci, 8, 16, 4); downx[8].compute_at(downsampled[8], x); interpolated[3].unroll(c, 3); interpolated[1].unroll(y, 3); interpolated[4].gpu_tile(x, y, c, xi, yi, ci, 8, 16, 4); downx[5].compute_at(downsampled[5], y); downsampled[8].gpu_tile(x, y, c, xi, yi, ci, 32, 8, 4); interpolated[8].unroll(y, 4); downsampled[1].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); downx[5].unroll(y, 4); interpolated[1].compute_at(normalize, x); interpolated[5].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); downsampled[1].unroll(xi, 4); interpolated[5].unroll(x, 4); interpolated[7].unroll(x, 3); normalize.gpu_tile(x, y, c, xi, yi, ci, 8, 32, 3); interpolated[2].unroll(x, 2); interpolated[5].unroll(ci, 2); downx[8].unroll(x, 4); downsampled[4].gpu_tile(x, y, c, xi, yi, ci, 8, 16, 4); interpolated[4].unroll(xi, 4); interpolated[2].gpu_tile(x, y, c, xi, yi, ci, 32, 8, 4); interpolated[6].unroll(xi, 3); interpolated[2].unroll(y, 4); downsampled[3].gpu_tile(x, y, c, xi, yi, ci, 8, 16, 4); interpolated[7].unroll(ci, 4); downsampled[2].gpu_tile(x, y, c, xi, yi, ci, 16, 16, 4); interpolated[1].unroll(y, 4); downsampled[4].unroll(xi, 4); interpolated[6].unroll(ci, 3); interpolated[3].unroll(x, 3); interpolated[7].unroll(xi, 3); downx[5].unroll(x, 4); downsampled[2].unroll(ci, 2); downsampled[1].unroll(ci, 2); interpolated[8].gpu_tile(x, y, c, xi, yi, ci, 32, 8, 4); interpolated[6].unroll(c, 4); normalize.unroll(yi, 3); "
-314.638355,336,6093.316859,0.276464696,n/a
-65.0,78,6298.100713,0.308422321,n/a
-52.685624,149,6777.297909,0.079220199,"interpolated[8].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); downsampled[8].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); interpolated[2].unroll(x, 4); downsampled[6].gpu_tile(x, y, c, xi, yi, ci, 32, 8, 4); interpolated[8].unroll(c, 2); interpolated[1].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); downsampled[8].unroll(ci, 4); interpolated[6].gpu_tile(x, y, c, xi, yi, ci, 16, 8, 4); interpolated[5].gpu_tile(x, y, c, xi, yi, ci, 32, 8, 4); downsampled[1].gpu_tile(x, y, c, xi, yi, ci, 32, 8, 4); downsampled[2].gpu_tile(x, y, c, xi, yi, ci, 8, 32, 4); interpolated[1].unroll(y, 3); interpolated[6].unroll(yi, 2); interpolated[5].unroll(xi, 2); interpolated[5].unroll(yi, 3); interpolated[8].unroll(xi, 3); interpolated[4].unroll(y, 4); interpolated[2].unroll(y, 4); downx[2].compute_at(downsampled[2], x); interpolated[5].unroll(yi, 4); downsampled[4].gpu_tile(x, y, c, xi, yi, ci, 16, 16, 4); normalize.gpu_tile(x, y, c, xi, yi, ci, 8, 8, 3); "
-197.0,201,7351.132393,0.308397597,n/a
-134.879805,158,7936.644106,0.240198701,n/a
-176.812215,207,8565.346062,0.218400677,n/a
