loss_pol_surr,loss_ent,EpLenMean,EpExecMean,EpThisIter,EpisodesSoFar,TimeElapsed,loss_pol_entpen,loss_vf_loss,TimestepsSoFar,ev_tdlam_before,EpRewMean,loss_kl
-0.120255135,7.211631,nan,nan,0,0,849.2153670787811,-0.21634892,91.52705,0,-0.031321048736572266,nan,0.01455961
-0.12427355,7.1873665,158.0,0.27541293266666667,3,3,1633.5377943515778,-0.21562098,90.142624,474,-0.07127320766448975,-133.29734131229324,0.023780182
-0.12539297,7.1647863,107.8,0.25019298879999996,2,5,2262.8765728473663,-0.21494359,105.16511,539,0.05237901210784912,-78.12026003461662,0.021098303
-0.1427792,7.125598,139.28571428571428,0.2491165052857143,2,7,3071.766760110855,-0.21376793,91.09995,975,-0.7088795900344849,-113.62837383614658,0.050654426
-0.10825386,7.0675745,140.66666666666666,0.26229557544444443,2,9,3989.0700693130493,-0.21202724,25.713753,1266,-0.7481770515441895,-117.59984631700289,0.039998375
-0.11535431,6.9012957,116.91666666666667,0.26197143041666665,3,12,4818.243056774139,-0.20703886,92.3184,1403,-0.5208065509796143,-94.35585964312658,0.041023854
-0.11376264,6.989692,127.15384615384616,0.24879984876923075,1,13,5420.778199195862,-0.20969078,64.20139,1653,0.22397518157958984,-97.51471504579243,0.07002801
-0.1362822,7.010072,142.07142857142858,0.2507759092857143,1,14,6254.548019886017,-0.21030216,58.918118,1989,-0.30565643310546875,-113.0235464943167,0.052203313
-0.13924994,6.9361143,138.5,0.24365657812500002,2,16,7087.955044746399,-0.20808344,38.034096,2216,0.2705874443054199,-106.2509547087871,0.05206087
-0.12987117,6.845846,142.1764705882353,0.2474648733529412,1,17,7866.461135864258,-0.20537537,23.014126,2417,-1.5267822742462158,-111.58913384356434,0.05709842
-0.1613991,6.8545303,140.6,0.23630465850000001,3,20,8712.776490688324,-0.2056359,47.626118,2812,-0.5270991325378418,-107.46763711972065,0.16859189
-0.118736066,6.8356447,140.6,0.23630465850000001,0,20,9442.576444625854,-0.20506933,38.662674,2812,0.45043331384658813,-107.46763711972065,0.10717754
-0.15379669,6.6393914,150.61904761904762,0.22815136909523812,1,21,10084.103424787521,-0.19918175,24.568867,3163,0.40432125329971313,-114.83121376382388,0.09065166
-0.13829486,6.8461285,147.6086956521739,0.23513145186956524,2,23,10829.832094430923,-0.20538384,25.778774,3395,0.4673219919204712,-114.49806474088267,0.06562825
-0.13360292,6.690879,158.75,0.23162702225,1,24,11220.939321279526,-0.20072635,57.513077,3810,0.20208334922790527,-124.01760348137492,0.09162309
-0.14045149,6.787661,157.53846153846155,0.23753435292307695,2,26,12202.057805299759,-0.20362984,25.682985,4096,-0.42901790142059326,-124.86240321357685,0.05435086
-0.15112355,6.7990417,153.77777777777777,0.24015983322222226,1,27,12947.599741458893,-0.20397125,36.893974,4152,-0.7764159440994263,-121.90453642788881,0.067298084
-0.13311547,6.6458244,146.16129032258064,0.2362684708387097,4,31,13863.372169017792,-0.19937472,102.605576,4531,0.22299355268478394,-114.28318109771101,0.06683171
-0.16173708,6.8638783,146.16129032258064,0.2362684708387097,0,31,14502.14921617508,-0.20591635,5.593769,4531,0.7198922038078308,-114.28318109771101,0.11493941
-0.11075848,6.685149,158.4375,0.23852327865625,1,32,15052.102365732193,-0.20055446,36.518845,5070,0.04725313186645508,-126.43058168840753,0.15007868
-0.13872144,6.709745,161.54545454545453,0.23464937736363636,1,33,15643.637369632721,-0.20129235,41.070957,5331,-1.7819747924804688,-128.44442254504818,0.125852
-0.13256294,6.754614,163.3235294117647,0.2310881481764706,1,34,16495.709605693817,-0.2026384,38.82775,5553,0.3398835062980652,-129.48494256116018,0.062914945
-0.12006354,6.628398,167.5142857142857,0.22992780214285716,1,35,17105.936990261078,-0.19885193,43.6999,5863,-0.11494159698486328,-133.32132100377854,0.079082035
-0.12231313,6.7608185,168.77777777777777,0.22912687119444447,1,36,17889.632400035858,-0.20282455,34.12689,6076,0.3045279383659363,-134.45686629596725,0.08619879
-0.13065696,6.480943,168.77777777777777,0.22912687119444447,0,36,18333.119346618652,-0.1944283,24.76968,6076,0.8709855824708939,-134.45686629596725,0.14831845
-0.15826282,6.5067782,174.67567567567568,0.2248492368648649,1,37,19027.90793991089,-0.19520335,45.050278,6463,-0.1532231569290161,-138.66000978722764,0.108434185
-0.13606328,6.6113033,175.43589743589743,0.2181246185897436,2,39,19871.89481472969,-0.19833909,50.186012,6842,-0.803196907043457,-137.67163185171708,0.07702825
-0.09980251,6.600091,178.4,0.22038206115000003,1,40,20570.1502532959,-0.19800271,23.646137,7136,0.4662490487098694,-141.40484105542413,0.12078696
-0.13510169,6.6177187,178.78048780487805,0.2174911672439025,1,41,21357.794531583786,-0.19853157,38.061497,7330,-0.4474905729293823,-140.98093410651057,0.1097151
-0.11043145,6.6511073,181.54761904761904,0.2159199620714286,1,42,22077.630980968475,-0.19953321,18.315414,7625,-1.0186610221862793,-143.10331988322753,0.07513691
-0.14031477,6.3877,183.30232558139534,0.21240874893023262,1,43,22770.141258716583,-0.19163099,33.69282,7882,0.18349534273147583,-143.70684338661638,0.09289325
-0.11261031,6.5442414,185.63636363636363,0.20885526331818188,1,44,23308.478141784668,-0.19632724,77.76465,8168,0.26119887828826904,-144.33111691112006,0.092201434
-0.14342389,6.6309786,185.63636363636363,0.20885526331818188,0,44,23829.29083442688,-0.19892934,14.914566,8168,0.8103799819946289,-144.33111691112006,0.11405864
-0.09644654,6.703331,188.7111111111111,0.2066518452444445,1,45,24327.652173042297,-0.20109993,18.97065,8492,0.835744321346283,-146.5808383852708,0.11553584
-0.13536811,6.556493,192.02173913043478,0.20427552728260875,1,46,24891.2118332386,-0.19669479,50.203285,8833,0.43024784326553345,-148.92823355730442,0.08337194
-0.1453353,6.697488,190.9787234042553,0.20236540446808518,1,47,25599.216238498688,-0.20092462,89.80386,8976,0.22777509689331055,-147.1451720192705,0.11062792
-0.124972045,6.556385,189.0204081632653,0.2004424955102041,2,49,26399.352903604507,-0.19669156,87.814926,9262,-0.14204096794128418,-144.8061104839055,0.062061384
-0.13337725,6.4939857,189.3921568627451,0.19746368800000005,2,51,27203.5698158741,-0.19481955,49.78133,9659,-0.015009760856628418,-143.88670164699266,0.1147199
-0.1293951,6.2322927,177.32142857142858,0.18888654958928575,5,56,27965.566870450974,-0.18696877,206.59515,9930,0.05762118101119995,-128.99297050772978,0.15826792
-0.13062195,6.165738,159.828125,0.1862869746875,8,64,28673.130751609802,-0.18497214,204.1264,10229,0.45799046754837036,-111.0250904979896,0.15039532
-0.11560236,5.965923,132.55696202531647,0.19916480320253166,15,79,29511.565140247345,-0.1789777,141.95999,10472,0.14088022708892822,-89.03115089686194,0.118660055
-0.12031816,5.9608555,117.98901098901099,0.19281577260439564,12,91,30311.509795427322,-0.17882565,145.26984,10737,0.3719390630722046,-72.89051674379621,0.1370744
-0.11933614,5.8685827,105.94,0.18633946951000002,11,102,31084.05383682251,-0.17605747,117.437386,10986,0.5688699781894684,-59.267065842001756,0.08505128
-0.10740374,5.703972,92.55,0.17449775693,12,114,31947.464965820312,-0.17111915,186.34074,11244,0.5088201761245728,-42.657618508356926,0.091653824
-0.1279006,5.8666525,81.42,0.16817942208000006,8,122,32704.255828857422,-0.17599957,129.09744,11518,0.46912437677383423,-29.53893990769235,0.101294994
-0.12561935,5.518476,62.17,0.15610640568,12,134,33510.970534563065,-0.16555429,147.71208,11770,0.5920746922492981,-6.734496763351967,0.14930905
-0.1203116,6.148367,48.94,0.15227056104000003,6,140,34322.9749815464,-0.184451,57.930534,12030,0.6559285819530487,7.819202015505223,0.18679278
-0.11893422,6.0683956,30.35,0.15735128254000003,8,148,35215.95990419388,-0.18205185,60.746086,12278,0.039362967014312744,24.11187588050736,0.14726228
